0,1,2,3,4,5,6,7,8,9,10,sub,ses,hemi,A,B
4449,226,4449,226,4223,0,94.9202,0.0,0.1496,0.1052,0.0414,47TPEF3729,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
10101,2285,11274,1112,8989,1173,88.9912,51.3348,0.8106,1.3176,0.9954,47TPEF3729,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
6084,167,6084,167,5917,0,97.2551,0.0,0.0509,0.0693,0.0399,47TPEF3729,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
8777,5360,10885,3252,5525,2108,62.9486,39.3284,0.7081,1.2489,1.4457,TOT3551F,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
2482,124,2482,124,2358,0,95.004,0.0,0.1064,0.1125,0.063,TOT3551F,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
8553,3203,8949,2807,5746,396,67.1811,12.3634,0.7845,0.9944,0.889,TOT3551F,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
3555,99,3555,99,3456,0,97.2152,0.0,0.17,0.2429,0.0147,TOT3551F,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
7107,2980,9952,135,6972,2845,98.1005,95.4698,0.6861,1.1055,1.2999,2118ToTParticip2,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
3221,136,3221,136,3085,0,95.7777,0.0,0.0344,0.2496,0.0867,2118ToTParticip2,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
5688,1576,7251,13,5675,1563,99.7714,99.1751,0.7631,1.1026,0.4328,2118ToTParticip2,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
3988,127,3988,127,3861,0,96.8155,0.0,0.0628,0.1057,0.0489,2118ToTParticip2,01,R,rh.LOTS_dil-1.nii.gz,rh.mOTS_dil-1.nii.gz
10170,7968,14023,4115,6055,3853,59.5379,48.3559,1.3218,1.1699,1.164,01ToTfMRI4796,01,L,LAF_fs_LOTS_clean_fa_bin.nii.gz,LAF_fs_mOTS_clean_fa_bin.nii.gz
2601,156,2601,156,2445,0,94.0023,0.0,0.1912,0.1457,0.0673,01ToTfMRI4796,01,L,lh.LOTS_dil-1.nii.gz,lh.mOTS_dil-1.nii.gz
9706,3902,12609,999,8707,2903,89.7074,74.3977,0.78,0.9948,1.0099,01ToTfMRI4796,01,R,RAF_fs_LOTS_clean_fa_bin.nii.gz,RAF_fs_mOTS_clean_fa_bin.nii.gz
